title,year,director,genre,producer,country,actors,length,budget
Побег из Шоушенка,1994,Фрэнк Дарабонт,драма,,,"Тим Роббинс,Морган Фриман,Боб Гантон,Уильям Сэдлер,Клэнси Браун,Гил Беллоуз,Джеймс Уитмор",142 мин,25 млн
Властелин колец: Возвращение короля,2003,Питер Джексон,"боевик,приключение,драма",Питер Джексон,[1],"Элайджа Вуд,Иэн Маккеллен,Лив Тайлер,Вигго Мортенсен,Шон Эстин,Кейт Бланшетт,Джон Рис-Дэвис,Бернард Хилл,Билли Бойд,Доминик Монаган,Орландо Блум,Хьюго Уивинг,Миранда Отто,Дэвид Уэнем,Карл Урбан,Джон Ноубл,Энди Серкис,Иэн Холм,Шон Бин",201 мин,94 млн
Бойцовский клуб,1999,Дэвид Финчер,драма,"Арт Линсон,Сиан Чаффин,Росс Грэйсон Белл",,"Эдвард Нортон,Брэд Питт,Хелена Бонэм Картер,Мит Лоуф,Джаред Лето",139 мин.,63 млн 
Форрест Гамп,1994,Роберт Земекис,"драма,романтический фильм","Венди Файнерман,ru,Стив Тиш,ru",[1],"Том Хэнкс,Робин Райт,Гэри Синиз,Майкелти Уильямсон,Салли Филд",142 мин,55 млн
Властелин колец: Две крепости,2002,Питер Джексон,"боевик,приключение,драма",Питер Джексон,[1],"Элайджа Вуд,Иэн Маккеллен,Лив Тайлер,Вигго Мортенсен,Шон Эстин,Кейт Бланшетт,Джон Рис-Дэвис,Бернард Хилл,Кристофер Ли,Билли Бойд,Доминик Монаган,Орландо Блум,Хьюго Уивинг,Миранда Отто,Дэвид Уэнем,Брэд Дуриф,Карл Урбан,Энди Серкис",179 мин,94 млн
Властелин колец: Братство Кольца,2001,Питер Джексон,"боевик,приключение,драма","Питер Джексон,Тим Сандерс",[1],"Элайджа Вуд,Иэн Маккеллен,Лив Тайлер,Вигго Мортенсен,Шон Эстин,Кейт Бланшетт,Джон Рис-Дэвис,Билли Бойд,Доминик Монаган,Орландо Блум,Кристофер Ли,Хьюго Уивинг,Шон Бин,Иэн Холм,Энди Серкис",178 мин,93 млн
Криминальное чтиво,1994,Квентин Тарантино,"детектив,драма","[en],[en],[en],[en]",,"Джон Траволта,Сэмюэл Л. Джексон,Брюс Уиллис,Ума Турман",154 мин,8 млн 
Начало,2010,Кристофер Нолан,"боевик,приключение,научная фантастика",Кристофер Нолан,,"Леонардо Ди Каприо,Кэн Ватанабэ,Джозеф Гордон-Левитт,Эллен Пейдж,Марион Котийяр,Том Харди,Киллиан Мёрфи,Том Беренджер,Дилип Рао,Майкл Кейн",148 мин.,160 млн $
"Хороший, плохой, злой",1966,Серджо Леоне,"приключение,вестерн",,Италия,"Клинт Иствуд,Ли Ван Клиф,Илай Уоллак", 161 мин,"1,2 млн долл."
Спасти рядового Райана,1998,Стивен Спилберг,"драма,военный фильм","Гэри Левинсон,ru",,"Том Хэнкс,Эдвард Бёрнс,Мэтт Деймон,Том Сайзмор",169 минут,70 000 000 
